ID,Agency Name,Required Report Name,Report Description,Frequency,Frequency Integer,Other Frequency Description,Start Date,End Date,Authorizing Resource (Charter and Code),Authorizing Resource (Local Law),Formatted Start Date,Formatted End Date
575,"Housing Preservation and Development, Department of (HPD)",Annual Report on Inclusionary Housing,Interactive map and data,Every X years,1,,September 1 2020,,"New York City Administrative Code Title 26, Section 1702",LL 200/2017  ,2020-09-01,
576,"Housing Preservation and Development, Department of (HPD)",Annual Report on Lead Paint Enforcement Program,"Report on implementation of Lead Poisoning Prevention Program including an analysis of the department's program, a detailed statement of revenue and expenditures and statistical section designed to provide a detailed explanation of the department's enforcement. Due within four months after the close of the first fiscal year after which this article takes effect and for every fiscal year thereafter",Every X years,1,,October 30 2020,,"New York City Administrative Code Title 27, Section 2056.12(a)","LL 01/2004, LL 70/2019",2020-10-30,
577,"Housing Preservation and Development, Department of (HPD)",Create and maintain a website allowing users to see information about affordable housing (the housing portal),,,,Continually,July 1 2020,,New York City Administrative Code Title 26 Section 1802,LL 64/2018,2020-07-01,
578,"Housing Preservation and Development, Department of (HPD)",Foreclosure Notification Report,"Report including (i) the total number of foreclosure actions commenced during the immediately preceding three months for which notice pursuant to paragraph one of this subdivision has been received by the department, disaggregated by community district; and (ii) the total number of foreclosure actions pending, for which notice pursuant to paragraphs one and two of this subdivision has been received by the department, disaggregated by community district",Every X months,3,,January 1 2020,,"New York City Administrative Code Title 27, Section 2109.1(3)",LL 4/2012,2020-01-01,
579,"Housing Preservation and Development, Department of (HPD)",Housing Information Guide,"In English and Spanish, a guide including (1) owners' responsibilities with respect to eviction, heat and hot water, pest management, repairs and maintenance, tenant organizations, rent-regulated leases, rental assistance for elderly or disabled tenants, and housing discrimination; (2) tenants' responsibilities with respect to responding to required notices, allowing access for inspections and repairs, and not causing violations; (3) the availability of free and low-cost legal services; and (4) other topics deemed relevant by the department",,,Continually,,,"New York City Administrative Code Title 26, Section 1102",,,
580,"Housing Preservation and Development, Department of (HPD)",Housing Lottery System Report,"A report providing details about the housing lottery systems used by such department for the selection of tenants to fill affordable housing units in affordable housing developments during the period between January 1, 2014 until the submission date of such report. The report shall include, but need not be limited to, a summary of implementation challenges, the procedures set forth by such department to screen and select tenants, the procedures for accepting and processing paper and other non-electronic applications, the procedures for populating waiting lists including the procedures for incorporating paper and other non-electronic applications into waiting lists, a summary of technical difficulties with the online housing lottery system application portal reported to such department and common substantiated applicant complaints about the selection process.",Once,1,,January 1 2021,,,LL 216/2019,2021-01-01,
581,"Housing Preservation and Development, Department of (HPD)",Identifying Information Law Report,"A report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,NYC Administrative Code Title 23 Section 1205,"LL 245/2017, LL 247/2017",2020-07-31,
582,"Housing Preservation and Development, Department of (HPD)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
583,"Housing Preservation and Development, Department of (HPD)","Lead Poisoning Prevention and Control Program Analysis, Expenses and Enforcement Statistics","A report on the department's implementation, including an analysis of the department's program, detailed statement of revenue and expenditures and statistical section. Due within four months after the close of the first fiscal year after which this article takes effect and for every fiscal year thereafter",Every X years,1,,October 30 2020,,"New York City Administrative Code Title 27, Section 2056.12(a)",LL 1/2004,2020-10-30,
584,"Housing Preservation and Development, Department of (HPD)",List of properties with 20 or more units identified by block and lot number with identity of mortgagee plaintiffs for which notice has been provided under 27-2109.1(a),,Every X months,1,,January 1 2020,,"New York City Administrative Code Title 27, Section 2109.1",LL 4/2012,2020-01-01,
585,"Housing Preservation and Development, Department of (HPD)",Local Law 44 of 2012 Disqualified List,"List of contractors or subcontractors who fail to provide wage reporting information in accordance with Administrative Code Title 26, Section 904",,,Continually,,,,LL 44/2012,,
586,"Housing Preservation and Development, Department of (HPD)",Local Law 44 of 2012 Report on housing development projects,"Report including project identifier, address, completion date, name of developer and contractor and city financial assistance",Every X years,1,,October 31 2020,,"New York City Administrative Code Title 26, Section 903",LL 202/2017,2020-10-31,
587,"Housing Preservation and Development, Department of (HPD)","Map and data on inclusionary housing. With Buildings, Department of (DOB)",,Every X years,1,,September 1 2020,,New York City Administrative Code Title 26 Section 1702,LL 200/2017,2020-09-01,
588,"Housing Preservation and Development, Department of (HPD)",Mitchell-Lama Development Waiting List Report," A report on waiting lists for Mitchell-Lama developments that have been digitized and are incorporated into the housing portal required by section 26-1802. Such report shall be disaggregated by each Mitchell-Lama development and include, but need not be limited to, the following: 1.  The number of unique applicants on the waiting list on the last day of the prior calendar year; 2.  The number of applicants on the waiting list: (a)  Who were not selected for occupancy in such development within the prior calendar year; and (b)  Whose position on the waiting list was sequentially prior to a person other than a veteran who was selected for occupancy in such development within the prior calendar year; 3.  The number of substantiated complaints received within the prior calendar year regarding the waiting list for such development, including, but not limited to:  (a)  The selection for occupancy of an applicant whose position on the waiting list was sequentially later than applicants who were not selected for occupancy in such development from the same waiting list within the prior calendar year; and (b)  The waiting list process; and 4.  The number of applicants who were admitted under the preference for veterans for such development within the prior calendar year.",Every X years,1,,September 1 2021,,New York City Administrative Code Title 26 Section 2702,LL 218/2019,2021-09-01,
589,"Housing Preservation and Development, Department of (HPD)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
590,"Housing Preservation and Development, Department of (HPD)",Report on Affordable Housing Lotteries During the Prior Three Fiscal Years," A report on each lottery for affordable housing units that was administered by or on behalf of the department during the prior three fiscal years, provided that each affordable housing unit available through each such lottery was leased or purchased.",Every X years,3,,September 1 2021,,New York City Administrative Code Title 26 Section 2602,LL 217/2019,2021-09-01,
591,"Housing Preservation and Development, Department of (HPD)",Report on Affordable Housing Plan Compliance with LL 133/2018,"Report on how city affordable housing plans address historic patterns of racial segregation by providing for such creation or preservation in a manner that affirmatively furthers fair housing by taking meaningful actions, in addition to combating discrimination, that overcome patterns of segregation and foster inclusive communities free from barriers that restrict access to opportunity based on protected characteristics",Every X years,5,,January 1 2020,,,LL 133/2018,2020-01-01,
592,"Housing Preservation and Development, Department of (HPD)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
593,"Housing Preservation and Development, Department of (HPD)",Report on Audits of Certifications of Correction of Class C Violations,"Report on audit, including the total number of audits conducted; 2. The percentage of certifications of correction audited; 3. The percentage of audited certifications of correction found to have been false; 4. For audited certifications of correction found to have been false, the total amount of civil penalties collected and, if applicable, the number of additional sanctions imposed, disaggregated by type; and 5. For buildings where an audited certification of correction is found to have been false in the reporting period, whether a certification of correction filed for such building has been audited by the department of buildings or the department of housing preservation and development in the previous five years, and whether such audit or audits resulted in a finding or findings of false certification",Every X years,1,,March 31 2020,,"New York City Administrative Code Title 26, Section 2503",LL 117/2019,2020-03-31,
594,"Housing Preservation and Development, Department of (HPD)",Report on contributions to and expenditures from the affordable housing fund,,Every X years,1,,September 30 2020,,"New York City Administrative Code Title 26, Section 1703",LL 212/2017,2020-09-30,
595,"Housing Preservation and Development, Department of (HPD)",Report on Control of Pest and Other Asthma Allergen Triggers Article Implementation,"Report on implementation of Control of Pests and Other Asthma Allergen Triggers, including a detailed statement of revenue and expenditures and a statistical section designed to provide a detailed explanation of the department's enforcement including, but not limited to, the following:  1.  The number of complaints for visible mold, indoor mold hazards, and pests in dwelling units, disaggregated by city or non-city ownership of the building which is the subject of the complaint; 2.  The number of inspections by the department pursuant to this article, disaggregated by the city or non-city ownership of the building where the inspection occurred; 3.  The number of violations issued by the department pursuant to this article;  4.  The number of violations issued pursuant to this article that were certified as corrected by the owner, the number of such certifications that did not result in the removal of such violations, and the number of civil actions brought by the department against such owners; 5.  The number of jobs performed in which violations issued pursuant to this article were corrected by the department, the total amount spent by the department to correct the conditions that resulted in the violations, and the average amount spent per dwelling unit to correct such conditions;  6. A statistical profile with geographic indexing, such as by community district, council district, and/or zip code, of multiple dwellings in which violations are placed, indicating the ages and general condition of the multiple dwellings and other factors relevant to the prevalence of indoor mold hazards and pests, which may include asthma rates in the relevant community, outstanding violations, and emergency repair charges; and 7.  The number of trainings conducted for owners and building maintenance personnel on the appropriate work methods for controlling and removing indoor allergen hazards in rental housing.Report on asthma diagnoses, including but not limited to the number adult asthma referrals by type to the department for inspection, the number and types of orders issued to property owners by the department as a result of adult asthma referrals, and the number of apartments that have completed remediation for indoor asthma allergens as a result of adult asthma referrals",Every X years,1,,October 30 2020,,"New York City Administrative Code Title 27, Chapter 2, Subchapter 2, Section 2017.11(a)",LL 55/2018,2020-10-30,
596,"Housing Preservation and Development, Department of (HPD)",Report on Expiration Date of Urban Renewal Plan,"Report shall include any restrictions on use, density or design contained in such expiring urban renewal plan, the status of any pending application to change any applicable large-scale special permit, the status of any pending application to amend such urban renewal plan, including any pending application to extend the duration of such urban renewal plan with respect to any unsold parcels of real property, the department of city planning application number of such pending application, and a notice that upon expiration of such urban renewal plan existing zoning regulations may allow as-of-right development subject to less restrictive use, density, and design requirements",,,As needed,,,New York City Charter Chapter 961 Section 1806(2),LL 40/2018,,
597,"Housing Preservation and Development, Department of (HPD)",Report on Expiring Affordable Housing Units,Report on numbers of expiring affordable housing units,Every X years,1,,December 31 2020,,"New York City Administrative Code Title 26, Section 2205",LL 136/2018,2020-12-31,
598,"Housing Preservation and Development, Department of (HPD)",Report on Hazardous Elevator-Related Violations,"Required to report on any hazardous elevator-related violations referred by Department of Buildings pursuant to New York City Administrative Code Title 28, Section 219.4",Every X years,1,,December 1 2020,,"New York City Administrative Code Title 27, Section 2129.1",LL 101/2015,2020-12-01,
599,"Housing Preservation and Development, Department of (HPD)",Report on Implementation of Legal Services in Eviction Proceedings Program,A review of the program and its implementation,Every X years,1,,September 1 2020,,"New York City Administrative Code Title 26, Section 1304(b)",LL 136/2017,2020-09-01,
600,"Housing Preservation and Development, Department of (HPD)",Report on Median Asking Rent for Dwelling Units,"A listing of median asking rents for dwelling units, disaggregated by community district and, if such data is available in a statistically significant and representative sample, by the number of bedrooms",Every X years,1,,September 1 2020,,"New York City Administrative Code Title 27, Section 2096",LL 101/2019,2020-09-01,
601,"Housing Preservation and Development, Department of (HPD)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
602,"Housing Preservation and Development, Department of (HPD)",Report on relocation of tenants,"The commissioner shall annually submit to the mayor, the board of estimate, and the council a detailed report on tenant relocation activities which are subject to the provisions of this section and recommendations in regard thereto and shall coordinate the efforts of and consider the reports, recommendations and suggestions of public and private agencies and civic groups in regard thereto",Every X years,1,,January 31 2020,,New York City Administrative Code Title 26 Section 301(5),,2020-01-31,
603,"Housing Preservation and Development, Department of (HPD)",Report on Results of the Alternative Enforcement Program,Study of the effectiveness of the AEP program,Every X years,2,,July 31 2020,,"New York City Administrative Code Title 27, Section 2153(v)","LL 29/2007, LL 7/2011",2020-07-31,
604,"Housing Preservation and Development, Department of (HPD)",Report on Supply of Housing Accommodations,Report on the supply of housing accommodations within the City. With Rent Guidelines Board (RGB),Every X years,3,,January 1 2020,,New York City Administrative Code Title 26 Section 415,,2020-01-01,
605,"Housing Preservation and Development, Department of (HPD)",Report on Survey on Effectiveness of Pilot Program to Reduce Harassment of Tenants,"Report including 1. the number of covered buildings where the owner applied for a certificate of no harassment disaggregated by whether the department issued a certificate of no harassment, a cure agreement was reached, or a waiver of a certificate of no harassment; 2. the location of buildings where the department determined that harassment had occurred, disaggregated by community board and council district disaggregated by whether such building was subject to a cure agreement; 3. metrics which the department determines appropriate to determine the preventive impacts of such program; 4. a determination, using such metrics, as to whether such program resulted in preventive impacts; 5. estimated costs of the program to the city; and 6. recommendations for improving the efficacy of such program if the pilot program continues",Once,1,,June 1 2020,,"New York City Administrative Code, Title 28, Section 508.8",LL 1/2018,2020-06-01,
606,"Housing Preservation and Development, Department of (HPD)",Report on Tracking System Plan Implementation,"Report on the progress of the tracking system plan required by section 26-2202, until the completion of the implementation of the plan",Every X years,1,,April 30 2020,,"New York City Administrative Code Title 26, Section 2203",LL 136/2018,2020-04-30,
607,"Housing Preservation and Development, Department of (HPD)",Report on urban renewal areas," Report including (a)  Maps displaying the project boundaries of all currently and formerly designated urban renewal areas in the city of New York, to the extent practicable; (b)  An illustrative map or maps of the city displaying the approximate locations of all such urban renewal areas; (c)   A list, organized by borough, of all such urban renewal areas; (d)   The council districts that may include real property within the project boundary of any such urban renewal area; (e)   For each such urban renewal area, the expiration date of the final version of the applicable urban renewal plan; (f)   The land use restrictions imposed pursuant to such urban renewal plans; and (g)   A notice that upon expiration of such urban renewal plans existing zoning regulations may allow as-of-right development subject to less restrictive use, density, and design requirements. Such notice shall be accompanied by information about researching urban renewal restrictions on currently and previously designated urban renewal sites.",Once,1,,March 11 2020,,New York City Charter Chapter 961 Section 1806(5),LL 40/2018,2020-03-11,
608,"Housing Preservation and Development, Department of (HPD)",Report on Vacant Land,A report of vacant buildings or lots under the jurisdiction of the department categorized according to the potential development or feasibility status of such buildings or lots as affordable housing,Every X years,1,,November 1 2020,,"New York City Administrative Code Title 26, Section 1901",LL 30/2018,2020-11-01,
610,"Housing Preservation and Development, Department of (HPD)",Speculation Watch List,"List of multiple dwellings that contain six or more dwelling units in which a majority of such units are rent regulated,  created by analyzing the capitalization rate for qualified transactions involving such multiple dwellings and applying the criteria promulgated by rule pursuant to subdivision b of this section",,,Continually,,,"New York City Administrative Code Title 27, Section 2109.52",LL 7/2018,,
611,"Housing Preservation and Development, Department of (HPD)",Update on Housing Lottery System,"Report providing details about amendments to the housing lottery systems used by such department for the selection of tenants to fill affordable housing units in affordable housing developments during the immediately preceding reporting period. The information included in such report shall include, but need not be limited to, a summary of implementation challenges, the procedures set forth by such department to screen and select tenants, the procedures for accepting and processing paper and other non-electronic applications, the procedures for populating waiting lists including the procedures for incorporating paper and other non-electronic applications into waiting lists, a summary of technical difficulties with the online housing lottery system application portal reported to such department and common substantiated applicant complaints about the selection process",Every X years,2,,January 1 2023,,,LL 216/2019,2023-01-01,
612,Human Resources Administration (HRA),Annual Opioid Training Report,"Report including (i) the number of department employees and employees of service providers under contract with the department who have completed the opioid antagonist administration training, (ii) the number of department employees and employees of service providers under contract with the department who have completed a refresher training, and (iii) the number of residents living HASA facilities who have completed the opioid antagonist administration training. Such report shall also include the number of times an opioid antagonist was administered to a resident disaggregated by the type of facility where the administration occurred (with Homeless Services, Department of (DHS))",Every X years,1,,September 1 2020,,New York City Administrative Code Title 21 Section 129(c),LL 225/2017,2020-09-01,
613,Human Resources Administration (HRA),Annual Report,Report of the civil legal service needs of low-income city residents and the availability of free and low-cost civil legal services to meet such needs,Every X years,1,,January 1 2020,,"New York City Charter Chapter 1, Section 13-b(b)(3)",LL61/2015,2020-01-01,
614,Human Resources Administration (HRA),Annual Report of the Commission on Community Reinvestment and the Closure of Rikers Island,"Such report shall identify neighborhoods and populations most impacted by historical incarceration rates, analyze or assess ways in which reinvestment can reduce incarceration rates and identify opportunities for reinvestment in such communities that shall include, but not be limited to, the following: 1. Investments address the root causes of crime and preventing crime, such as housing, public health and social programs; 2. Practices, policies and community investments that avoid contact with the criminal justice system for persons in mental health crisis, struggling with substance use disorder, homelessness and extreme poverty or other situations in which a traditional law enforcement response may be unwarranted or ineffective; and 3. Proposals for legislation, reviews of prosecutorial practices and police procedures that impact any such issues. ",Every X years,1,,December 30 2020,December 30 2027,,LL 193/2019,2020-12-30,2027-12-30
615,Human Resources Administration (HRA),Annual Report of the Interagency Coordinating Council on Homelessness,Report on recommendations as required by Section 307(b),Every X years,1,,January 1 2020,,New York City Administrative Code Title 21 Section 307(d),LL 207/2017,2020-01-01,
616,Human Resources Administration (HRA),Cash  assistance application and caseload engagement status reports for individuals aged 16 to 20,Report on status of cash assistance to heads of household aged 16-24,Every X months,1,,April 1 2020,,New York City Administrative Code Title 21 Section 134(b),LL 51/2012,2020-04-01,
617,Human Resources Administration (HRA),Cash  assistance application and caseload engagement status reports for individuals aged 16 to 25,Report on number of heads of household aged 16-20 who applied for cash assistance and other information,Every X months,6,,March 1 2020,,New York City Administrative Code Title 21 Section 134(b),LL 51/2012,2020-03-01,
618,Human Resources Administration (HRA),Child Welfare Parent Advocate Advisory Committee Annual Report,"Recommendations regarding the improvement of services provided by the city and non-government related service delivery systems with respect to foster care services, preventive services and any other aspects of the child welfare system such committee deems relevant. With Child Welfare Parent Advocate Advisory Committee",Every X years,1,,October 30 2020,,"New York City Administrative Code, Title 21 Section 131(b)(7)",LL 116/2005,2020-10-30,
619,Human Resources Administration (HRA),Emergency Feeding Programs Application Distribution Report,Report indicating the emergency feeding programs to which it distributed applications in the prior calendar quarter and the number of applications distributed to each emergency feeding program,Every X months,3,,January 1 2020,,New York City Administrative Code Title 21 Section 131(b),LL 80/2005,2020-01-01,
620,Human Resources Administration (HRA),Emergency Feeding Programs Report,The commissioner shall submit a report to the speaker of the city council indicating the emergency feeding programs to which it distributed applications in the prior calendar quarter and the number of applications distributed to each emergency feeding program,Every X months,3,,January 1 2020,,"New York City  Administrative Code, Title 21, Section 131",,2020-01-01,
621,Human Resources Administration (HRA),Five Year Plan,A five-year plan for providing free and low-cost civil legal services to those low-income city residents who need such services. Such plan shall also identify obstacles to making such services available to all those who need them and describe what additional resources would be necessary to do so.,,,Within one year of 1st annual report and in every 5th calendar year thereafter,,,"New York City Charter Chapter 1, Section 13-b(c)",LL 61/2015,,
622,Human Resources Administration (HRA),HIV/AIDS Services Administration Quarterly Performance Report,"The Commissioner shall submit written, quarterly reports to the mayor and the council that shall, at a minimum, provide the following information: 1. The number of persons with clinical/symptomatic HIV illness or with AIDS who requested benefits or services set forth in subdivision b of this section or any other benefits or services provided by the division. 2. The processing time for applications for benefits or services, disaggregated by field office, type of benefit and individual versus family case, specified as follows: (i) for non-emergency applications for food stamps, Medicaid and public assistance benefits, including separate determinations of eligibility for Medicaid or food stamps: (1) the number of days from completed application to the provision of the benefit or service; and (2) in cases of denial, the number of days from the completed application to denial of the application. (ii) for immediate needs grants and expedited food stamps: (1) the number of days from the request date to the date of issuance of a grant; and (2) in cases of denial, the number of days from the request date to the date of denial. (iii) for all other non-emergency benefits or services provided by or through any division center or office, including but not limited to exceptions to policy for enhanced rental assistance and additional allowances: (1) (a) the number of days from initial request to completed application; and (b) the number of days from completed application to the provision of the benefit or service; and (2) in cases of denial, the number of days from completed application to denial of the application. (iv) for all other benefits or services provided on an emergency basis, including but not limited to exceptions to policy for enhanced rental assistance and additional allowances: (1) the number of days from initial request to completed application; (2) the number of days from completed application to approval or denial of the application; and (3) the number of days from approval of an application to the provision of the benefit or service. (v) for applications for non-emergency housing: (1) the number of days from a request for housing to completed application; (2) the number of days from completed application to approval or denial of the application; (3) the number of days from approval of an application to the date on which the client takes occupancy of non-emergency housing; and (4) with respect to applications that are approved, the number of days from completed application to the date on which the client takes occupancy of non-emergency housing. 3. The number of division staff, by job title, whose duties include providing benefits and services or access to benefits and services pursuant to this section, disaggregated by field office and family versus overall cases; the number of cases at each field office, disaggregated by family versus overall cases; and the ratio of case managers and supervisors to clients at each field office, disaggregated by family versus overall cases. 4. The number of cases closed, disaggregated by the reasons for closure. 5. The number of closed cases that were re-opened, the length of time required to re-open such closed cases, starting from the date on which the case was closed, and the total number of cases closed in error and the length of time required to reopen such closed cases, starting from the date on which the case was closed, disaggregated by field office and reported in the following categories: 0 to 15 days; 16 to 30 days; 31 to 45 days; 46 to 60 days; 61 to 75 days; 76 to 90 days; and more than 91 days. 6. The number of administrative fair hearings requested, the number of fair hearing decisions in favor of applicants and recipients and the length of time for compliance with such fair hearing decisions, disaggregated by decisions where there was compliance within 30 days of the decision date and decisions where there was compliance after 30 days of the decision date; 7. The number of proceedings initiated pursuant to Article 78 of the Civil Practice Law and Rules challenging fair hearing decisions, and the number of Article 78 decisions rendered in favor of applicants or recipients; 8. The number of clients in emergency housing and the average length of stay, disaggregated on a monthly basis; 9. The number of facilities used to provide emergency shelter for clients and the number of units per facility, disaggregated by the type of facility; 10. The number of facilities used to provide emergency shelter placed on non-referral status for each month in the reporting period and the number of facilities placed on non-referral status that remedied the situation that led to non-referral status. 11. The number of facilities used to provide emergency shelter placed on discontinuance of use status and the number of facilities placed on discontinuance of use status that remedied the situation that led to discontinuance of use status. 12. The number of requests for emergency housing assistance, the number of persons referred to the department of homeless services; the number of persons referred to commercial single room occupancy hotels, the average length of stay in commercial single room occupancy hotels, the number of applications for non-emergency housing each month; and the number of persons placed in non-emergency housing each month. 13. The number of inspections of emergency housing conducted by the division. 14. Quarterly reports required by this subdivision shall be delivered no later than 60 days after the last day of the time period covered by the report. The first quarterly report required by this subdivision shall be delivered no later than August 31, 2005.",Every X months,3,,March 1 2020,,New York City Administrative Code Title 21 Section 128(j),"LL 49/1997, LL 32/2005",2020-03-01,
623,Human Resources Administration (HRA),Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
625,Human Resources Administration (HRA),Municipal Identification Card Program,"Report on the number of applications and cards issues, among other information",Every X months,3,,June 30 2020,,New York City Administrative Code Title 3 Section 115,LL 35/2014,2020-06-30,
626,Human Resources Administration (HRA),Plan to Improve Client Experience at Job Centers and Supplemental Nutrition Assistance Program (SNAP) Centers,"Such plan shall include actions to address complaints received pursuant to subdivision b of section 21-142.2, to the extent that such complaints relate to the client experience at job centers and SNAP centers. Such plan shall include a response to each recommendation received in audit conducted under LL 169/2019",Once ,1,,March 1 2020,,,LL 169/2019,2020-03-01,
627,Human Resources Administration (HRA),Public Burial Report,"Report summarizing and responding to  testimony at the public hearing including comments on and recommendations regarding changes to the laws, rules, regulations, policies and procedures related to public burial and Hart Island",Once ,1,,January 15 2020,,,LL 214/2019,2020-01-15,
628,Human Resources Administration (HRA),Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
629,Human Resources Administration (HRA),Referrals to Adult Protective Services,"Report on referrals to adult protective services. Each such report shall include, but not be limited to, the total number of referrals received by adult protective services during each six month period and the number of referred individuals who were determined ineligible during such six month period, disaggregated by the reasons individuals were determined ineligible, a general description of the source of the referrals, and the council district, community board, and zip code of the referred individuals",Every X months,6,,July 1 2020,,New York City Administrative Code Title 21 Section 136,LL 70/2015,2020-07-01,
630,Human Resources Administration (HRA),Report of the New York City Commission for the Foster Care of Children,Study and report the extent and nature of the facilities required to provide adequate foster care for children. Make recommendations on all phases of the foster care of children including recommendations designed to prevent the need for such care. Make appropriate recommendations to the commissioner and to the administrative judge of the family court of the state of New York within the city of New York for submission to the mayor on all matters affecting the foster care of children,Every X years,1,,April 1 2020,,"New York City Administrative Code, Title 21, Section 118(c)(8)",,2020-04-01,
631,Human Resources Administration (HRA),Report of the Office of Constituent Services,"Report including a compilation of monthly reports on 1. The number of comments, questions and complaints received; 2.  The number of comments, questions and complaints received in which information was provided and the matter resolved; 3.  The number of comments, questions and complaints received in which the matter was escalated for resolution, disaggregated by the 20 most frequent categories of inquiries; and  4.  Recommendations made pursuant to paragraph 4 of subdivision a of section 142.2.",Every X years,1,,January 31 2021,,"New York City Administrative Code Title 21, Section 142.2(d)","LL 171/2019, LL 160/2019",2021-01-31,
632,Human Resources Administration (HRA),"Report on a pilot program for the design, development, staffing, implementation and provision of social work services at one job center in each borough",Report on findings of the pilot program,Once,1,,July 15 2020,,"New York City Administrative Code Title 21, Section 142.3(b)",LL 162/2019,2020-07-15,
633,Human Resources Administration (HRA),Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
634,Human Resources Administration (HRA),"Report on arrests, summonses, removals, escorts and use of force incidents in job centers and Supplemental Nutrition Assistance Program (SNAP) centers",,Every X months,3,,January 31 2020,,"New York City Administrative Code Title 21, Section 142.1(b)",LL 161/2019,2020-01-31,
635,Human Resources Administration (HRA),"Report on Audit of Operations, Policies and Procedures at Job Centers and Supplemental Nutrition Assistance Program Centers",Report on results of the audit and the outcome of consultations with the organizations that have experience working with visitors,Once,1,,March 1 2020,,,LL 169/2019,2020-03-01,
636,Human Resources Administration (HRA),Report on Average Wait Time at Job Centers,,Every X months,1,,March 15 2020,,New York City Administrative Code Title 21 Section 139(d),LL 20/2018,2020-03-15,
637,Human Resources Administration (HRA),Report on Client Service Trainings,"Report on the number of individuals who have received the trainings pursuant to subdivision c of this section, disaggregated by the positions held by such individuals at Supplemental Nutrition Assistance Program (SNAP) centers",Every X years ,1,,January 31 2020,,"New York City Administrative Code Title 21, Section 140",LL 163/2019,2020-01-31,
638,Human Resources Administration (HRA),Report on Exits from Emergency Shelters,"Report including total number of individuals and the total number of families who exited a domestic violence emergency shelter during the preceding calendar year, disaggregated by the type of housing such individuals and families residing in upon their exit. Such housing types shall include, but not be limited to, the following: (i) a New York city housing authority apartment; (ii) an apartment with a rental subsidy, disaggregated by the type of such subsidy; (iii) a private apartment with no rental subsidy; (iv) supportive housing; (v) shelter operated by or under contract or similar agreement with the department of homeless services; (viii) shelter operated by or under contract or similar agreement with the department, disaggregated by type, where practicable; (ix) made own arrangements or (iix) unknown or unable to validate",Every X years,1,,March 1 2020,,New York City Administrative Code Title 21 Section 141(b),LL 83/2018,2020-03-01,
639,Human Resources Administration (HRA),"Report on Gender, Racial and Income Equity Plan",Report on Efforts to Implement Equity Action Plan,Every X years,2,,July 1 2020,,"New York City Administrative Code Title 3, Section 160(d)",LL 174/2017,2020-07-01,
640,Human Resources Administration (HRA),Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
641,Human Resources Administration (HRA),Report on program  providing legal services in eviction proceedings,"A review of the program  to provide legal services to provide access to legal services in administrative proceedings of the New York City Housing Authority for tenants of buildings operated by the New York City housing authority who have been served with charges in such administrative proceedings for termination of tenancy, and its implementation",Every X years,1,,September 1 2020,,New York City Administrative Code Title 26 Section 1304,LL 136/2017,2020-09-01,
